;purchdate;amount;mcc;mrchcity;mrchname;cnum;store_name;merchant_name;category_x;cnum_;categorycode;gender;age;married_;residenttype;category_y;description
32461806;2019-10-03 00:00:00;19.0;5814;SANKT-PETERBU;T1D81N;ELSHJM;Vendex;T1D81N;Fast Food;ELSHJM;50;M;33;not_married;R;50;Corporate customer employee/ payroll scheme
40018699;2019-10-29 00:00:00;616.0;5411;EKATERINBURG;C1EJX KEXJ1 MVQV;EL1LGF;Метро Стор 1030;C1EJX KEXJ1 MVQV;Supermarkets;EL1LGF;70;F;80;not_married;R;70;Regular retail banking customer
32542752;2019-09-28 00:00:00;50.0;5814;SANKT-PETERBU;T1D81N;RIPNLR;Vendex;T1D81N;Fast Food;RIPNLR;50;M;33;not_married;R;50;Corporate customer employee/ payroll scheme
53930061;2019-12-09 00:00:00;48.0;5814;SANKT-PETERBU;T1D81N;ELPLEE;Vendex;T1D81N;Fast Food;ELPLEE;50;M;26;not_married;R;50;Corporate customer employee/ payroll scheme
49833057;2019-09-23 00:00:00;470.0;5814;MOSKVA;3AH10 D7KLKIADO4O;MPMPIM;Хлеб Насущный;3AH10 D7KLKIADO4O;Fast Food;MPMPIM;80;F;49;married;R;80;Affluent Banking regular customer
13759803;2019-10-08 00:00:00;166.0;5814;MOSKVA;IX9911 WX4DE;JPKPRI;Кофе Поинт;IX9911 WX4DE;Fast Food;JPKPRI;50;M;41;not_married;R;50;Corporate customer employee/ payroll scheme
66277261;2019-11-27 00:00:00;1342.9;5411;NIZH NOVGOROD;C1EJX KEXJ1 MVBM;EEAYVQ;Метро Стор 1021;C1EJX KEXJ1 MVBM;Supermarkets;EEAYVQ;50;F;52;married;R;50;Corporate customer employee/ payroll scheme
50488902;2019-10-23 00:00:00;45.0;5814;SANKT-PETERBU;T1D81N;9YFNCS;Vendex;T1D81N;Fast Food;9YFNCS;50;M;30;married;R;50;Corporate customer employee/ payroll scheme
44483889;2019-11-25 00:00:00;23.0;5814;SANKT-PETERBU;T1D81N;E4LP5V;Vendex;T1D81N;Fast Food;E4LP5V;50;F;37;married;R;50;Corporate customer employee/ payroll scheme
32324867;2019-11-29 00:00:00;45.0;5814;GATCHINA;T1D81N;ELT1FU;Vendex;T1D81N;Fast Food;ELT1FU;50;M;32;married;R;50;Corporate customer employee/ payroll scheme
7996825;2019-11-27 00:00:00;49.0;5814;SANKT-PETERBU;T1D81N;ELHN5O;Vendex;T1D81N;Fast Food;ELHN5O;50;M;33;not_married;R;50;Corporate customer employee/ payroll scheme
21023576;2019-11-17 00:00:00;438.09;5411;SANKT-PETERBU;6 KA7ZXT;ELEY18;7 шагов;6 KA7ZXT;Supermarkets;ELEY18;70;M;45;married;R;70;Regular retail banking customer
2831272;2019-10-16 00:00:00;125.0;5814;MOSKVA;IX9911 WX4DE;EL65NM;Кофе Поинт;IX9911 WX4DE;Fast Food;EL65NM;50;F;26;not_married;R;50;Corporate customer employee/ payroll scheme
43145364;2019-11-28 00:00:00;84.0;5814;MOSKVA;IX9911 WX4DE;2GGSCS;Кофе Поинт;IX9911 WX4DE;Fast Food;2GGSCS;50;F;32;married;R;50;Corporate customer employee/ payroll scheme
62711234;2019-11-11 00:00:00;19.0;5814;SANKT-PETERBU;T1D81N;E45LOS;Vendex;T1D81N;Fast Food;E45LOS;50;M;31;married;R;50;Corporate customer employee/ payroll scheme
67977001;2019-10-01 00:00:00;75.0;5814;SANKT-PETERBU;T1D81N;ELQMIS;Vendex;T1D81N;Fast Food;ELQMIS;50;M;36;not_married;R;50;Corporate customer employee/ payroll scheme
